2018-07-16 17:19:35.555 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStarting - Starting AppMain on YULANG-PC with PID 1112 (G:\STS\e-parent\e-order-web\target\classes started by Administrator in G:\STS\e-parent\e-order-web)
2018-07-16 17:19:35.556 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-16 17:19:59.832 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStarted - Started AppMain in 24.729 seconds (JVM running for 26.094)
2018-07-16 17:24:24.969 logback [http-nio-8091-exec-1] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:_ga,cookieValue:GA1.1.1372512457.1529635355
2018-07-16 17:24:24.973 logback [http-nio-8091-exec-1] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:JSESSIONID,cookieValue:0C56FF85073E0381D32E1689365BBECD
2018-07-16 17:24:24.974 logback [http-nio-8091-exec-1] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:Hm_lpvt_91471a0372bbb1cae7dc43f903e2105e,cookieValue:1531708071
2018-07-16 17:24:24.974 logback [http-nio-8091-exec-1] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:gsScrollPos-14,cookieValue:
2018-07-16 17:24:26.368 logback [http-nio-8091-exec-3] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:_ga,cookieValue:GA1.1.1372512457.1529635355
2018-07-16 17:24:26.368 logback [http-nio-8091-exec-3] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:JSESSIONID,cookieValue:0C56FF85073E0381D32E1689365BBECD
2018-07-16 17:24:26.369 logback [http-nio-8091-exec-3] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:Hm_lpvt_91471a0372bbb1cae7dc43f903e2105e,cookieValue:1531708071
2018-07-16 17:24:26.369 logback [http-nio-8091-exec-3] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:gsScrollPos-14,cookieValue:
2018-07-16 17:25:37.138 logback [http-nio-8091-exec-5] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:_ga,cookieValue:GA1.1.1372512457.1529635355
2018-07-16 17:25:37.138 logback [http-nio-8091-exec-5] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:JSESSIONID,cookieValue:0C56FF85073E0381D32E1689365BBECD
2018-07-16 17:25:37.138 logback [http-nio-8091-exec-5] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:Hm_lpvt_91471a0372bbb1cae7dc43f903e2105e,cookieValue:1531708071
2018-07-16 17:25:37.139 logback [http-nio-8091-exec-5] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:gsScrollPos-14,cookieValue:
2018-07-16 17:25:37.675 logback [http-nio-8091-exec-6] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:_ga,cookieValue:GA1.1.1372512457.1529635355
2018-07-16 17:25:37.676 logback [http-nio-8091-exec-6] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:JSESSIONID,cookieValue:0C56FF85073E0381D32E1689365BBECD
2018-07-16 17:25:37.676 logback [http-nio-8091-exec-6] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:Hm_lpvt_91471a0372bbb1cae7dc43f903e2105e,cookieValue:1531708071
2018-07-16 17:25:37.676 logback [http-nio-8091-exec-6] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:gsScrollPos-14,cookieValue:
2018-07-16 17:27:36.359 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStarting - Starting AppMain on YULANG-PC with PID 8268 (G:\STS\e-parent\e-order-web\target\classes started by Administrator in G:\STS\e-parent\e-order-web)
2018-07-16 17:27:36.360 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-16 17:28:06.821 logback [restartedMain] INFO  com.edwin.fsg.AppMain.logStarted - Started AppMain in 31.352 seconds (JVM running for 32.272)
2018-07-16 17:28:20.549 logback [http-nio-8091-exec-7] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:_ga,cookieValue:GA1.1.1372512457.1529635355
2018-07-16 17:28:20.558 logback [http-nio-8091-exec-7] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:JSESSIONID,cookieValue:0C56FF85073E0381D32E1689365BBECD
2018-07-16 17:28:20.559 logback [http-nio-8091-exec-7] INFO  com.edwin.fsg.util.CookiesUtil.getCookieValue - read cookieName:Hm_lpvt_91471a0372bbb1cae7dc43f903e2105e,cookieValue:1531708071
